Price,Route,Source,Airline,Dep_Time,Duration,Destination,Total_Stops,Arrival_Time,Additional_Info,Date_of_Journey
4326,MAA → CCU,Chennai,IndiGo,05:15,2h 20m,Kolkata,non-stop,07:35,No info,24/03/2019
2754,BOM → HYD,Mumbai,IndiGo,19:05,1h 30m,Hyderabad,non-stop,20:35,No info,12/05/2019
11150,DEL → AMD → BOM → COK,Delhi,Jet Airways,23:05,13h 30m,Cochin,2 stops,12:35 28 Jun,In-flight meal not included,27/06/2019
3670,MAA → CCU,Chennai,Air India,11:40,2h 15m,Kolkata,non-stop,13:55,No info,21/03/2019
10262,DEL → BOM → COK,Delhi,Jet Airways,19:45,8h 40m,Cochin,1 stop,04:25 04 Jun,In-flight meal not included,3/06/2019
12327,DEL → BOM → COK,Delhi,Multiple carriers,15:05,10h 30m,Cochin,1 stop,01:35 28 Mar,No info,27/03/2019
7006,DEL → BOM → COK,Delhi,IndiGo,07:30,13h 30m,Cochin,1 stop,21:00,No info,24/05/2019
9483,DEL → AMD → BOM → COK,Delhi,Jet Airways,23:05,19h 55m,Cochin,2 stops,19:00 10 Apr,No info,9/04/2019
4823,BLR → DEL,Banglore,IndiGo,07:10,2h 55m,Delhi,non-stop,10:05,No info,1/06/2019
3841,CCU → BLR,Kolkata,SpiceJet,09:00,2h 25m,Banglore,non-stop,11:25,No check-in baggage included,24/05/2019
7870,CCU → IXR → DEL → BLR,Kolkata,Air Asia,15:10,8h 20m,Banglore,2 stops,23:30,No info,9/06/2019
12819,DEL → AMD → BOM → COK,Delhi,Jet Airways,23:05,19h 55m,Cochin,2 stops,19:00 25 Jun,No info,24/06/2019
8055,DEL → BOM → COK,Delhi,Multiple carriers,08:55,12h 5m,Cochin,1 stop,21:00,No info,27/03/2019
4823,BLR → DEL,Banglore,IndiGo,18:25,2h 55m,Delhi,non-stop,21:20,No info,24/05/2019
6386,DEL → BLR → COK,Delhi,IndiGo,02:00,5h 45m,Cochin,1 stop,07:45,No info,1/06/2019
11948,BLR → CCU → GAU → DEL,Banglore,Air India,11:05,35h 5m,New Delhi,2 stops,22:10 07 Mar,No info,03/03/2019
7662,CCU → IXR → BBI → BLR,Kolkata,Air India,05:50,7h 25m,Banglore,2 stops,13:15,No info,24/05/2019
2754,BOM → HYD,Mumbai,IndiGo,12:00,1h 30m,Hyderabad,non-stop,13:30,No info,15/05/2019
6393,DEL → AMD → COK,Delhi,GoAir,07:25,6h 10m,Cochin,1 stop,13:35,No info,1/06/2019
12373,DEL → BOM → COK,Delhi,Jet Airways,15:00,13h 25m,Cochin,1 stop,04:25 10 May,In-flight meal not included,9/05/2019
18260,DEL → BOM → COK,Delhi,Multiple carriers,00:20,12h 35m,Cochin,1 stop,12:55,In-flight meal not included,9/03/2019
12219,CCU → BOM → AMD → BLR,Kolkata,Air India,09:25,20h,Banglore,2 stops,05:25 02 Apr,No info,1/04/2019
7575,DEL → BOM → COK,Delhi,Multiple carriers,11:25,7h 50m,Cochin,1 stop,19:15,No info,9/05/2019
10262,DEL → BOM → COK,Delhi,Jet Airways,20:55,22h 5m,Cochin,1 stop,19:00 16 Jun,In-flight meal not included,15/06/2019
11087,BLR → BOM → DEL,Banglore,Jet Airways,22:50,10h 40m,New Delhi,1 stop,09:30 16 Mar,In-flight meal not included,18/03/2019
3807,CCU → BLR,Kolkata,Air Asia,19:55,2h 30m,Banglore,non-stop,22:25,No info,24/06/2019
7870,DEL → BOM → COK,Delhi,GoAir,14:25,5h 10m,Cochin,1 stop,19:35,No info,24/06/2019
8016,BLR → DEL,Banglore,Jet Airways,08:20,3h,Delhi,non-stop,11:20,No info,27/06/2019
8452,CCU → DEL → BLR,Kolkata,Vistara,20:20,12h 45m,Banglore,1 stop,09:05 22 May,No info,21/05/2019
3850,MAA → CCU,Chennai,IndiGo,07:55,2h 20m,Kolkata,non-stop,10:15,No info,1/05/2019
16736,BLR → BOM → DEL,Banglore,Jet Airways,07:00,14h 20m,New Delhi,1 stop,21:20,No info,06/03/2019
7229,BLR → DEL,Banglore,Jet Airways,11:10,2h 55m,Delhi,non-stop,14:05,No info,3/04/2019
14151,CCU → DEL → BLR,Kolkata,Jet Airways,17:00,28h 5m,Banglore,1 stop,21:05 22 May,No info,21/05/2019
8784,DEL → BOM → COK,Delhi,IndiGo,04:55,16h 5m,Cochin,1 stop,21:00,No info,27/05/2019
9899,CCU → BOM → BLR,Kolkata,Jet Airways,06:30,11h 45m,Banglore,1 stop,18:15,In-flight meal not included,12/06/2019
14871,DEL → BOM → COK,Delhi,IndiGo,09:10,16h 25m,Cochin,1 stop,01:35 04 Mar,No info,3/03/2019
6017,DEL → BOM → COK,Delhi,Jet Airways,11:30,16h 55m,Cochin,1 stop,04:25 28 Mar,In-flight meal not included,27/03/2019
15197,DEL → BOM → COK,Delhi,Air India,08:00,11h 15m,Cochin,1 stop,19:15,No info,3/03/2019
12284,BLR → BOM → DEL,Banglore,Jet Airways,08:55,6h 20m,New Delhi,1 stop,15:15,No info,18/03/2019
6955,BLR → COK → DEL,Banglore,Air India,22:00,15h 20m,New Delhi,1 stop,13:20 19 Mar,No info,21/03/2019
6795,DEL → BOM → COK,Delhi,Multiple carriers,12:50,12h 40m,Cochin,1 stop,01:30 02 Jun,No info,1/06/2019
7480,DEL → MAA → COK,Delhi,Air India,12:30,20h 55m,Cochin,1 stop,09:25 10 May,No info,9/05/2019
4544,BLR → DEL,Banglore,Jet Airways,06:00,2h 45m,Delhi,non-stop,08:45,In-flight meal not included,27/04/2019
13377,DEL → BOM → COK,Delhi,Multiple carriers,16:00,9h 30m,Cochin,1 stop,01:30 28 May,No info,27/05/2019
17234,DEL → BOM → COK,Delhi,Jet Airways,16:00,12h 25m,Cochin,1 stop,04:25 04 Mar,No info,3/03/2019
15554,DEL → BOM → COK,Delhi,Jet Airways,21:50,21h 10m,Cochin,1 stop,19:00 10 May,No info,9/05/2019
3873,CCU → BLR,Kolkata,SpiceJet,22:20,2h 20m,Banglore,non-stop,00:40 02 Jun,No info,1/06/2019
7408,DEL → BOM → COK,Delhi,Multiple carriers,13:00,8h,Cochin,1 stop,21:00,No info,15/06/2019
5198,BLR → DEL,Banglore,Jet Airways,17:45,3h,Delhi,non-stop,20:45,In-flight meal not included,12/05/2019
4483,BLR → DEL,Banglore,Air Asia,23:55,2h 50m,Delhi,non-stop,02:45 13 May,No info,12/05/2019
13941,CCU → BOM → BLR,Kolkata,Jet Airways,14:05,14h 35m,Banglore,1 stop,04:40 10 May,No info,9/05/2019
10413,CCU → DEL → BLR,Kolkata,Air India,17:30,26h 55m,Banglore,1 stop,20:25 10 Jun,No info,9/06/2019
11989,DEL → HYD → BOM → COK,Delhi,Air India,17:15,26h,Cochin,2 stops,19:15 25 Jun,No info,24/06/2019
7670,DEL → BOM → COK,Delhi,Multiple carriers,07:30,13h 30m,Cochin,1 stop,21:00,No info,9/05/2019
10958,DEL → PNQ → COK,Delhi,IndiGo,23:30,5h 5m,Cochin,1 stop,04:35 19 May,No info,18/05/2019
10539,CCU → DEL → BLR,Kolkata,Jet Airways,09:35,9h 35m,Banglore,1 stop,19:10,In-flight meal not included,12/06/2019
14714,DEL → BOM → COK,Delhi,Jet Airways,19:45,8h 40m,Cochin,1 stop,04:25 02 Jun,No info,1/06/2019
2754,BOM → HYD,Mumbai,IndiGo,19:05,1h 30m,Hyderabad,non-stop,20:35,No info,15/06/2019
10929,DEL → AMD → BOM → COK,Delhi,Jet Airways,19:10,33h 15m,Cochin,2 stops,04:25 23 Mar,No info,21/03/2019
10368,DEL → JAI → BOM → COK,Delhi,Jet Airways,05:30,22h 55m,Cochin,2 stops,04:25 16 Jun,In-flight meal not included,15/06/2019
14388,CCU → BOM → BLR,Kolkata,Jet Airways,21:10,11h 5m,Banglore,1 stop,08:15 16 May,No info,15/05/2019
10844,CCU → BOM → BLR,Kolkata,Jet Airways,16:30,25h 45m,Banglore,1 stop,18:15 16 May,In-flight meal not included,15/05/2019
9315,DEL → BOM → COK,Delhi,Multiple carriers,06:40,12h 20m,Cochin,1 stop,19:00,No info,15/05/2019
6934,DEL → COK,Delhi,Air India,14:10,3h,Cochin,non-stop,17:10,No info,21/04/2019
12898,DEL → BOM → COK,Delhi,Jet Airways,22:50,20h 10m,Cochin,1 stop,19:00 22 May,In-flight meal not included,21/05/2019
8372,DEL → BOM → COK,Delhi,Air India,08:00,11h 15m,Cochin,1 stop,19:15,No info,15/05/2019
12242,DEL → BOM → COK,Delhi,Jet Airways,02:15,26h 10m,Cochin,1 stop,04:25 28 Mar,No info,27/03/2019
8553,BLR → DEL,Banglore,Vistara,19:40,2h 40m,New Delhi,non-stop,22:20,No info,03/03/2019
11087,BLR → BOM → DEL,Banglore,Jet Airways,05:45,4h 40m,New Delhi,1 stop,10:25,In-flight meal not included,09/03/2019
1965,BOM → HYD,Mumbai,SpiceJet,13:15,1h 30m,Hyderabad,non-stop,14:45,No check-in baggage included,18/06/2019
6094,DEL → COK,Delhi,Air India,05:10,2h 50m,Cochin,non-stop,08:00,No info,21/05/2019
3100,BOM → HYD,Mumbai,Air India,21:05,1h 20m,Hyderabad,non-stop,22:25,No info,24/06/2019
6961,BLR → DEL,Banglore,Air India,10:00,2h 45m,Delhi,non-stop,12:45,No info,1/06/2019
3597,MAA → CCU,Chennai,IndiGo,19:35,2h 20m,Kolkata,non-stop,21:55,No info,15/05/2019
3850,MAA → CCU,Chennai,IndiGo,05:15,2h 25m,Kolkata,non-stop,07:40,No info,24/05/2019
4959,DEL → BOM → COK,Delhi,GoAir,10:35,9h,Cochin,1 stop,19:35,No info,15/06/2019
8001,DEL → COK,Delhi,Vistara,14:55,2h 55m,Cochin,non-stop,17:50,No info,6/03/2019
10141,DEL → BOM → COK,Delhi,IndiGo,09:10,6h 20m,Cochin,1 stop,15:30,No info,27/03/2019
11622,DEL → BOM → COK,Delhi,Multiple carriers,09:15,9h 45m,Cochin,1 stop,19:00,No info,12/06/2019
14388,CCU → BOM → BLR,Kolkata,Jet Airways,18:55,13h 20m,Banglore,1 stop,08:15 13 May,No info,12/05/2019
10262,DEL → BOM → COK,Delhi,Jet Airways,13:00,15h 25m,Cochin,1 stop,04:25 25 Jun,In-flight meal not included,24/06/2019
10794,DEL → BLR → COK,Delhi,Air Asia,20:45,10h 25m,Cochin,1 stop,07:10 10 Jun,No info,9/06/2019
8586,CCU → BOM → BLR,Kolkata,Jet Airways,06:30,22h 10m,Banglore,1 stop,04:40 13 May,In-flight meal not included,12/05/2019
6992,BLR → BOM → DEL,Banglore,Jet Airways,08:55,14h 5m,New Delhi,1 stop,23:00,In-flight meal not included,21/03/2019
15554,DEL → BOM → COK,Delhi,Jet Airways,10:00,9h,Cochin,1 stop,19:00,No info,18/05/2019
4804,CCU → BLR,Kolkata,IndiGo,14:25,2h 30m,Banglore,non-stop,16:55,No info,12/06/2019
