iter	RMSE
135	0.1846539544
136	0.1845417905
137	0.1843540494
138	0.18408608
139	0.1840129422
140	0.1838337911
141	0.1837343733
142	0.1835246847
143	0.1832778158
144	0.1831517761
145	0.1827179525
146	0.1826278514
147	0.1823043659
148	0.1820692208
149	0.1817796206
150	0.1817314868
151	0.1814479755
152	0.1810973505
153	0.1808408022
154	0.1806688288
155	0.1805242847
156	0.1801083661
157	0.1800441023
158	0.1798520964
159	0.1796726276
160	0.1795294233
161	0.1794745546
162	0.1792773907
163	0.179216195
164	0.1790659276
165	0.1788529553
166	0.1786565005
167	0.1784236702
168	0.178127827
169	0.1780084772
170	0.1778664792
171	0.1776669428
172	0.1774819692
173	0.1772608278
174	0.1770353301
175	0.1769439432
176	0.1768301481
177	0.1766186467
178	0.1765546853
179	0.1762514857
180	0.1760938565
181	0.1760747281
182	0.1760292855
183	0.175850365
184	0.1756254946
185	0.1755913063
186	0.1754645376
187	0.1753489955
188	0.1751080458
189	0.1749668338
190	0.17492153
191	0.1748680734
192	0.1748306355
193	0.1745907466
194	0.1743174438
195	0.1742149558
196	0.1741879614
197	0.1738324771
198	0.1736895311
199	0.1736546175
200	0.1736138739
201	0.1734107648
202	0.1732204507
203	0.1729283623
204	0.1728723856
205	0.1726509903
206	0.1724117443
207	0.172236898
208	0.1721989429
209	0.1721648294
210	0.1718365528
211	0.1717414447
212	0.1714915823
213	0.171296113
214	0.1711887355
215	0.1710311272
216	0.1709020613
217	0.1707366528
218	0.1707358145
219	0.1705522178
220	0.1704803224
221	0.1702741368
222	0.1701364467
223	0.1699632705
224	0.1699426294
225	0.1699317681
226	0.1696778365
227	0.1695795589
228	0.1693563013
229	0.1693554658
230	0.1692052411
231	0.1691050728
232	0.1690738981
233	0.1689255505
234	0.1688554495
235	0.1687399183
236	0.1686443822
237	0.1683375179
238	0.1682298787
239	0.1682164468
240	0.1681246034
241	0.1679095938
242	0.1676669398
243	0.1675365101
244	0.1673720549
245	0.1672488601
246	0.1671145939
247	0.1671137745
248	0.166968016
249	0.1669237023
250	0.1667700238
251	0.1665735235
252	0.1663638141
253	0.1663630487
254	0.1661849695
255	0.1661774927
256	0.1660343253
257	0.1658889399
258	0.165743058
259	0.1656745249
260	0.1654640852
261	0.1653684243
262	0.1651530207
263	0.1650642987
264	0.1650335648
265	0.1649505479
266	0.1649007325
267	0.1646824512
268	0.1645389336
269	0.1644549902
270	0.1642019453
271	0.1640442817
272	0.1638582926
273	0.1637595088
274	0.1636162802
275	0.1634839115
276	0.1632931799
277	0.163292434
278	0.1631874582
279	0.1629890576
280	0.1628485373
281	0.1627052977
282	0.1627045823
283	0.162665082
284	0.1626644128
285	0.1625507011
286	0.1624518124
287	0.1622713675
288	0.1621462874
289	0.1619968423
290	0.1619182907
291	0.1619176435
292	0.16185553
293	0.1617996169
294	0.1616767886
295	0.1615459951
296	0.1615233546
297	0.1613530775
298	0.161352465
299	0.1612653809
300	0.1611421417
301	0.1609873021
302	0.1608829102
303	0.1608279587
304	0.1606906338
305	0.1606899961
306	0.1606611528
307	0.1605831904
308	0.1605622271
309	0.1605291372
310	0.1603870061
311	0.1602961867
312	0.16020086
313	0.1601765099
314	0.1600866237
315	0.1599773096
316	0.1598556435
317	0.1597785124
318	0.1596583724
319	0.15961465
320	0.1595261141
321	0.1595067919
322	0.1593604346
323	0.1592441235
324	0.1591719906
325	0.1591498375
326	0.1590437769
327	0.1589157061
328	0.1587948714
329	0.1587943068
330	0.1587542701
331	0.1586540239
332	0.1585078933
333	0.1584060874
334	0.1583270559
335	0.1582360154
336	0.1581494751
337	0.1580591044
338	0.1579261257
339	0.1578261842
340	0.1577452423
341	0.1576154113
342	0.1575546098
343	0.1574205075
344	0.1574064136
345	0.1572227249
346	0.1570511276
347	0.157042232
348	0.1570416869
349	0.1569238716
350	0.1568058178
351	0.1567290366
352	0.1567285094
353	0.156593452
354	0.1564945678
355	0.1563832563
356	0.1562564448
357	0.1561863721
358	0.1560694089
359	0.1560689008
360	0.1559744318
361	0.1558628184
362	0.1558120119
363	0.1557277733
364	0.1556338903
365	0.1555419404
366	0.1554856017
367	0.1553748853
368	0.1553222653
369	0.1553217534
370	0.1553212586
371	0.1553207805
372	0.1551939649
373	0.155160076
374	0.1550912349
375	0.155018254
376	0.1549065942
377	0.154800829
378	0.1548003642
379	0.1547229545
380	0.1546569843
381	0.1545979221
382	0.1545139101
383	0.15442171
384	0.1542559887
385	0.1541875532
386	0.1541030135
387	0.1540222601
388	0.1539247067
389	0.153801969
390	0.1537017349
391	0.153659557
392	0.1536101586
393	0.1535185468
394	0.1535032376
395	0.1534133358
396	0.1533057502
397	0.153305295
398	0.1532401242
399	0.1531337833
400	0.153043574
401	0.1530163066
402	0.1529660612
403	0.1529233113
404	0.1528543782
405	0.1527579277
406	0.1527229635
407	0.1526968043
408	0.1526037542
409	0.1526033437
410	0.1525129834
411	0.1524758284
412	0.1523449646
413	0.1522911478
414	0.1522261898
415	0.1521898707
416	0.1521498138
417	0.1520694959
418	0.152031097
419	0.1519682613
420	0.1518424789
421	0.1518072991
422	0.1517242747
423	0.1516465481
424	0.1515761628
425	0.1515281598
426	0.1515098781
427	0.1514473688
428	0.1513593247
429	0.1512821763
430	0.1512280085
431	0.1511333701
432	0.151017656
433	0.1509297298
434	0.1508527746
435	0.1508331981
436	0.1507111381
437	0.1507041816
438	0.1506820832
439	0.1506817043
440	0.1506157734
441	0.1506154069
442	0.1505336185
443	0.1504731727
444	0.1504481923
445	0.150363708
446	0.1503633533
447	0.150307499
448	0.1502246808
449	0.1501780684
450	0.1501424804
451	0.150073267
452	0.1500490961
453	0.1499768962
454	0.1499765527
455	0.1499617448
456	0.149898817
457	0.149836098
458	0.149830654
459	0.1497739592
460	0.149690241
461	0.149689922
462	0.1496129427
463	0.1495560839
464	0.1495557729
465	0.1494759328
466	0.1494192618
467	0.1494062113
468	0.1493494167
469	0.1492942596
470	0.1492346565
471	0.1491855407
472	0.149185237
473	0.1491258566
474	0.1490645485
475	0.149016747
476	0.1489700741
477	0.1488975063
478	0.1488250195
479	0.1487569621
480	0.1486194851
481	0.1485174936
482	0.1484504199
483	0.1483644181
484	0.1483070149
485	0.14824202
486	0.148181678
487	0.1481340622
488	0.1480259539
489	0.1479556407
490	0.147884763
491	0.147833353
492	0.1477773257
493	0.1477770548
494	0.1476954986
495	0.1476315747
496	0.1475904682
497	0.1474973924
498	0.1474971257
499	0.1474555988
500	0.1474307302
501	0.1474153224
502	0.1473362252
503	0.1472948638
504	0.147160873
505	0.1471338666
506	0.1470909186
507	0.1470305234
508	0.1469484979
509	0.1469266102
510	0.1468656851
511	0.1467873188
512	0.1467640231
513	0.1467067252
514	0.1466654523
515	0.1466652118
516	0.1466002402
517	0.1465435585
518	0.1464929462
519	0.1464388008
520	0.1464017564
521	0.1463462295
522	0.1462883022
523	0.1462856906
524	0.1462435584
525	0.1462065067
526	0.1461313672
527	0.1460640555
528	0.1459996999
529	0.1459480542
530	0.1458705806
531	0.145836269
532	0.1457994876
533	0.1457402143
534	0.1457007938
535	0.1456792703
536	0.145631749
537	0.1455702955
538	0.1455466986
539	0.1455265546
540	0.1454722441
541	0.1454304387
542	0.1453767883
543	0.1453682027
544	0.1453220391
545	0.1453051691
546	0.1452511779
547	0.1452038321
548	0.145203645
549	0.1451596574
550	0.1450718941
551	0.1450030444
552	0.1449737183
553	0.1449520827
554	0.1449205155
555	0.1448672649
556	0.1447888873
557	0.1447485623
558	0.1447023465
559	0.144659377
560	0.1446591665
561	0.1445933105
562	0.1445156359
563	0.1444295565
564	0.1443928165
565	0.1443491143
566	0.1442777051
567	0.1442256077
568	0.1441804117
569	0.1441511343
570	0.144120186
571	0.1440352809
572	0.1439815473
573	0.1439263053
574	0.1438843428
575	0.143865935
576	0.1438318575
577	0.143812744
578	0.1437640191
579	0.1437382013
580	0.1437035066
581	0.1436662454
582	0.1435877469
583	0.143497693
584	0.1434176268
585	0.1434174242
586	0.1433718535
587	0.1433361764
588	0.1432860598
589	0.1432480398
590	0.1431807427
591	0.1431697069
592	0.1430831089
593	0.1430182681
594	0.142989516
595	0.1429338719
596	0.1428858245
597	0.1428367014
598	0.1427693935
599	0.1426936857
600	0.1426302319
601	0.1426128492
602	0.142562288
603	0.1425132896
604	0.1424904301
605	0.1424481836
606	0.1424169979
607	0.1423838517
608	0.1423305641
609	0.1422990214
610	0.142275364
611	0.1422342832
612	0.1422081681
613	0.1421676222
614	0.1421460272
615	0.1420910829
616	0.1420604189
617	0.142030975
618	0.1419780945
619	0.1419564259
620	0.1419111867
621	0.1417881085
622	0.1417750493
623	0.1417297042
624	0.1416861177
625	0.1416613601
626	0.1416321201
627	0.1415813737
628	0.1415811856
629	0.1415810038
630	0.1415591421
631	0.1414096487
632	0.1413513431
633	0.1412973908
634	0.1411935557
635	0.1411722966
636	0.1411315312
637	0.1410893719
638	0.141018941
639	0.1409523027
640	0.1409191903
641	0.1409138532
642	0.1408686621
643	0.1408620583
644	0.1408080761
645	0.1407554331
646	0.140714648
647	0.1406777234
648	0.1406121148
649	0.140611954
650	0.1405587048
651	0.1405307015
652	0.140484085
653	0.1404471112
654	0.1404136995
655	0.1403636505
656	0.1403249871
657	0.140297399
658	0.1402772177
659	0.1402343943
660	0.1401814467
661	0.1401408824
662	0.140077497
663	0.1400773434
664	0.1400160975
665	0.1399991311
666	0.1399633553
667	0.1399224817
668	0.1398780945
669	0.1398298269
670	0.1398071482
671	0.1397688518
672	0.1396748292
673	0.1395961726
674	0.139591507
675	0.1395521729
676	0.1395295612
677	0.1394841284
678	0.1394466076
679	0.139372174
680	0.1393377699
681	0.1393376412
682	0.1392928224
683	0.1392381368
684	0.1392084404
685	0.1391781385
686	0.1391106633
687	0.139065143
688	0.1390214525
689	0.1389934805
690	0.1389721354
691	0.1389052422
692	0.1388762816
693	0.138840337
694	0.1387840744
695	0.138761473
696	0.1387067041
697	0.138681193
698	0.1386389567
699	0.1385734861
700	0.1385583634
701	0.1385145178
702	0.1384672356
703	0.1384320514
704	0.1383826864
705	0.1383174936
706	0.138274143
707	0.138237975
708	0.1382116768
709	0.138187553
710	0.1381495602
711	0.1380957701
712	0.1380469792
713	0.1379838301
714	0.1379541362
715	0.1379326831
716	0.137898214
717	0.137875748
718	0.1378504857
719	0.1377853925
720	0.1377396044
721	0.1377394434
722	0.1377032518
723	0.1376765897
724	0.1376107262
725	0.1375813655
726	0.1375438666
727	0.1375294238
728	0.1375116484
729	0.1375038363
730	0.1374837966
731	0.1374414857
732	0.1374040419
733	0.1373526365
734	0.1373209969
735	0.1372995998
736	0.137292444
737	0.1372593599
738	0.1372431531
739	0.1372193
740	0.1371917511
741	0.1371697066
742	0.1371496998
743	0.1370987557
744	0.1370747025
745	0.1370374385
746	0.1369833736
747	0.1369439372
748	0.1369122226
749	0.1369005973
750	0.1368454433
751	0.1367908696
752	0.1367681178
753	0.1367291146
754	0.136699743
755	0.1366554324
756	0.1366409742
757	0.1366308964
758	0.1365826695
759	0.1365527553
760	0.1365430447
761	0.1365155734
762	0.1364781177
763	0.1364339099
764	0.136413885
765	0.1363793807
766	0.1363453997
767	0.1363418156
768	0.1362991069
769	0.136266666
770	0.1362167738
771	0.1361775987
772	0.1361612914
773	0.1361053509
774	0.1360282899
775	0.1359923988
776	0.1359425922
777	0.1359030232
778	0.1358738444
779	0.1358309714
780	0.1357920519
781	0.1357553372
782	0.1357014021
783	0.1357012913
784	0.1356551112
785	0.1356349768
786	0.1356202082
787	0.1355790738
788	0.1355725987
789	0.1355247553
790	0.1354958605
791	0.13545933
792	0.1354132209
793	0.1353711817
794	0.1353269845
795	0.1353241336
796	0.1352945832
797	0.1352721448
798	0.1352319266
799	0.1352029516
800	0.135172201
801	0.1351352056
802	0.1350656314
803	0.1350232859
804	0.1349848654
805	0.134934025
806	0.1349149906
807	0.134893925
808	0.1348664496
809	0.134843778
810	0.1348050523
811	0.1347762001
812	0.1347760948
813	0.1347232273
814	0.1346935933
815	0.1346611504
816	0.1346137679
817	0.1346003451
818	0.1346002503
819	0.1345444789
820	0.1345052346
821	0.1344741367
822	0.1344313021
823	0.1344127314
824	0.1344029928
825	0.134365056
826	0.1343222276
827	0.1342804962
828	0.1342522041
829	0.1342191695
830	0.1341817361
831	0.1341695281
832	0.1341068667
833	0.134037027
834	0.1340034736
835	0.1339754364
836	0.1339658447
837	0.1339347459
838	0.1338919898
839	0.1338640319
840	0.1338202503
841	0.1337916353
842	0.1337635771
843	0.1337630345
844	0.133761489
845	0.1337483318
846	0.133710084
847	0.1336865507
848	0.1336697038
849	0.1336528404
850	0.1336132025
851	0.1335791408
852	0.1335364869
853	0.1335175007
854	0.1334737398
855	0.1334562637
856	0.133432044
857	0.1333951152
858	0.1333679722
859	0.1333455303
860	0.1333119024
861	0.1332891794
862	0.1332578834
863	0.133239846
864	0.1332290998
865	0.1331958164
866	0.1331680304
867	0.1331413824
868	0.1331348723
869	0.1331012283
870	0.133078338
871	0.133064618
872	0.1330417717
873	0.1330324401
874	0.1329929344
875	0.1329532061
876	0.1329259263
877	0.1329254111
878	0.132897753
879	0.1328577231
880	0.1328345454
881	0.1328123316
882	0.1327922062
883	0.132755418
884	0.1327354433
885	0.1327353333
886	0.1326902555
887	0.1326628025
888	0.1326626983
889	0.1326428425
890	0.1325951229
891	0.1325793648
892	0.1325512131
893	0.1325207729
894	0.1325080706
895	0.1324906328
896	0.1324518709
897	0.1324383746
898	0.1324010787
899	0.1323807086
900	0.1323558955
901	0.1323332964
902	0.1322886419
903	0.1322601356
904	0.1322256976
905	0.1322108193
906	0.1321887684
907	0.1321478405
908	0.1321093827
909	0.1320782232
910	0.1320428499
911	0.1320085141
912	0.1319828801
913	0.1319605732
914	0.1319435587
915	0.1319239025
916	0.1319118081
917	0.1318853842
918	0.1318569712
919	0.1318461798
920	0.1317868204
921	0.1317488658
922	0.1317256279
923	0.1317072599
924	0.131701051
925	0.1316578263
926	0.1316333551
927	0.1316089653
928	0.131583844
929	0.1315516071
930	0.1315285147
931	0.1314898287
932	0.1314380636
933	0.1314174224
934	0.1313933781
935	0.1313545555
936	0.1313288624
937	0.1313120068
938	0.1312785585
939	0.1312397084
940	0.1312157761
941	0.1311879455
942	0.1311746502
943	0.1311219774
944	0.1311044158
945	0.131052494
946	0.1310241623
947	0.1310231961
948	0.1310007123
949	0.1309930892
950	0.1309758174
951	0.1309416663
952	0.1309159609
953	0.1308954645
954	0.1308727497
955	0.1308441249
956	0.1308307436
957	0.1308060777
958	0.1307816871
959	0.1307677458
960	0.1307471819
961	0.1307203463
962	0.1307076101
963	0.1306761326
964	0.1306576427
965	0.1306440226
966	0.1306201524
967	0.1306113788
968	0.1305863351
969	0.1305676797
970	0.1305522556
971	0.1305314658
972	0.1305144716
973	0.1304869479
974	0.130458051
975	0.1304167508
976	0.1303985996
977	0.130366712
978	0.1303494213
979	0.1303243865
980	0.1302981048
981	0.1302812435
982	0.1302642143
983	0.130244677
984	0.1302210567
985	0.1301796333
986	0.1301362768
987	0.1301167711
988	0.130067591
989	0.1300517152
990	0.1300239204
991	0.1299989035
992	0.1299791148
993	0.1299450997
994	0.1299287109
995	0.1299173656
996	0.1298948825
997	0.129857837
998	0.1298250411
999	0.1298119168
