Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,21/03/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4435
Jet Airways,15/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,15812
Air Asia,18/03/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4384
IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,13:10,16:10,3h,non-stop,No info,8033
Air India,1/04/2019,Kolkata,Banglore,CCU → DEL → BLR,17:30,12:00 02 Apr,18h 30m,1 stop,No info,7893
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,05:05 07 Mar,6h 15m,,No info,19225
Jet Airways,18/04/2019,,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,5198
Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,11982
SpiceJet,9/05/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included,1965
Vistara,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 10 May,12h 45m,1 stop,No info,9187
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,08:15 13 Mar,15h 20m,1 stop,No info,13817
Air India,3/06/2019,,Cochin,DEL → COK,14:10,17:10,3h,-55,No info,6934
IndiGo,21/03/2019,Kolkata,Banglore,CCU → BLR,05:30,08:20,2h 50m,non-stop,No info,4148
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,19:45,19:00 22 May,23h 15m,1 stop,No info,16079
IndiGo,3/04/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,-8,No info,4729
Jet Airways,9/03/2019,,Cochin,DEL → BOM → COK,19:15,04:25 10 Mar,9h 10m,1 stop,No info,16289
Unknown_3,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,09:20 19 May,14h 25m,1 stop,In-flight meal not included,9663
IndiGo,27/03/2019,Kolkata,Banglore,CCU → BLR,15:20,17:55,2h 35m,non-stop,No info,5198
Air India,6/06/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,01:20 07 Jun,15h 20m,2 stops,No info,13033
Air India,24/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,7171
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,In-flight meal not included,10262
Unknown_3,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15 02 May,18h 10m,1 stop,No info,13941
SpiceJet,18/03/2019,Mumbai,Hyderabad,BOM → HYD,13:10,14:30,1h 20m,non-stop,No check-in baggage included,2385
Air Asia,12/04/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 13 Apr,2h 50m,non-stop,No info,7080
Unknown_3,21/05/2019,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,19:15 22 May,37h 20m,2 stops,No info,10493
IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 07 May,2h 50m,non-stop,No info,4077
Jet Airways,3/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,19:00,9h 20m,2 stops,No info,13014
Jet Airways,3/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,No info,18804
Jet Airways,6/05/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,4544
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,,No info,NotANumber
Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,23:25,14h 35m,2 stops,No info,13250
Unknown_3,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,12:35 28 Jun,25h 5m,1 stop,In-flight meal not included,10262
IndiGo,27/03/2019,,Cochin,DEL → BOM → COK,10:45,01:35 28 Mar,14h 50m,1 stop,No info,6628
GoAir,3/03/2019,Delhi,Cochin,DEL → HYD → COK,07:30,13:20,5h 50m,1 stop,No info,NotANumber
SpiceJet,15/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,,No info,4174
Jet Airways,27/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,04:25 29 Mar,33h 15m,2 stops,In-flight meal not included,6643
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 22 Mar,20h 25m,1 stop,No info,12767
Jet Airways,1/04/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,No info,5678
IndiGo,24/03/2019,Kolkata,Banglore,CCU → IXA → BLR,14:30,20:10,5h 40m,1 stop,No info,9413
SpiceJet,21/04/2019,,Banglore,CCU → BLR,22:20,00:40 22 Apr,2h 20m,non-stop,No check-in baggage included,4807
IndiGo,21/05/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,,No info,3850
IndiGo,24/06/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,6412
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 02 May,14h 35m,,No info,13941
Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,19:45,04:25 10 Mar,8h 40m,1 stop,In-flight meal not included,11848
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,07:40 19 Mar,22h 45m,1 stop,In-flight meal not included,7412
SpiceJet,1/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 02 Apr,2h 20m,,No check-in baggage included,NotANumber
IndiGo,3/05/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,3943
Jet Airways,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 22 May,8h 55m,,No info,15129
Air India,15/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,8372
IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823
IndiGo,21/06/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 22 Jun,2h 40m,non-stop,No info,4804
IndiGo,21/05/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,4049
Jet Airways,6/06/2019,,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,No info,14714
IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 13 Apr,3h,non-stop,No info,4990
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 25 May,21h 25m,-49,In-flight meal not included,10844
IndiGo,27/06/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,4823
SpiceJet,9/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3573
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,21:05 19 May,28h 5m,1 stop,No info,14151
Air Asia,24/06/2019,Delhi,Cochin,DEL → BLR → COK,07:55,13:25,5h 30m,1 stop,No info,6152
SpiceJet,1/04/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1 stop,No info,6013
Jet Airways,18/05/2019,,Cochin,DEL → BOM → COK,22:50,04:25 19 May,5h 35m,1 stop,No info,15554
IndiGo,21/05/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,5170
Air Asia,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,22:40,10:40 13 Jun,12h,1 stop,No info,5192
IndiGo,3/03/2019,Kolkata,Banglore,CCU → BLR,15:10,17:45,2h 35m,non-stop,No info,6985
Jet Airways,27/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,06:20,04:25 28 Mar,22h 5m,2 stops,No info,12273
Jet Airways,24/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 25 Jun,21h 40m,,No info,13376
Unknown_3,9/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3597
Jet Airways,9/05/2019,,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,NotANumber
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,08:15 02 May,15h 45m,,In-flight meal not included,8586
IndiGo,1/03/2019,Kolkata,Banglore,CCU → BLR,15:10,17:45,2h 35m,non-stop,No info,6565
IndiGo,18/05/2019,Delhi,Cochin,DEL → BOM → COK,06:40,21:00,14h 20m,1 stop,No info,6758
Air India,27/05/2019,Delhi,Cochin,DEL → BLR → COK,17:40,09:35 28 May,15h 55m,1 stop,No info,7258
Unknown_3,27/03/2019, Delhi ,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,NotANumber
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 02 Jun,10h 55m,1 stop,No info,14714
IndiGo,21/03/2019,Kolkata,Banglore,CCU → BLR,22:10,00:55 22 Mar,2h 45m,non-stop,No info,4148
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,09:20 13 May,26h 50m,1 stop,In-flight meal not included,9663
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,19:50 02 Apr,27h 20m,1 stop,No info,12681
Unknown_3,18/05/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227
Jet Airways,9/06/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,5678
Unknown_3,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,12:35 10 May,26h 35m,1 stop,In-flight meal not included,12373
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,21:20,14h 20m,1 stop,No info,NotANumber
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,12:35 28 Jun,23h 10m,2 stops,In-flight meal not included,NotANumber
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,18:15 13 Jun,23h 20m,1 stop,In-flight meal not included,8529
Air Asia,12/05/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20 13 May,2h 30m,non-stop,No info,4409
GoAir,01/03/2019,,New Delhi,BLR → DEL,20:55,23:50,2h 55m,non-stop,No info,18558
IndiGo,24/05/2019,Kolkata,Banglore,CCU → MAA → BLR,06:20,10:20,4h,1 stop,No info,NotANumber
SpiceJet,1/05/2019, Mumbai ,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,2385
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,,No info,15149
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,18:15,11h 45m,1 stop,In-flight meal not included,10844
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45 07 Jun,24h 10m,1 stop,No info,12692
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,10:20,18:50,8h 30m,1 stop,No info,15411
Air India,12/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,12:20,19:15 13 Jun,30h 55m,2 stops,No info,12488
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,-45,No info,14781
SpiceJet,24/06/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,1965
Jet Airways,21/06/2019,Mumbai,Hyderabad,BOM → HYD,08:45,10:15,1h 30m,non-stop,In-flight meal not included,4995
Jet Airways,12/06/2019, Delhi ,Cochin,DEL → NAG → BOM → COK,14:35,12:35 13 Jun,22h,2 stops,No info,13376
SpiceJet,6/06/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1 stop,No info,6643
Unknown_3,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,No info,13941
IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,15:30,8h,1 stop,No info,14871
IndiGo,24/03/2019,Kolkata,Banglore,CCU → HYD → BLR,15:10,20:15,5h 5m,1 stop,No info,6762
Jet Airways,27/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,13014
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,22:05 07 May,25h 40m,1 stop,No info,11467
IndiGo,6/05/2019,Kolkata,Banglore,CCU → MAA → BLR,08:10,13:00,4h 50m,1 stop,No info,5069
IndiGo,6/03/2019,Delhi,Cochin,DEL → COK,14:30,17:35,3h 5m,non-stop,No info,7673
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 22 May,11h 5m,1 stop,No info,14781
Unknown_3,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 13 Jun,22h,2 stops,No info,13376
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,13587
Unknown_3,24/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13587
IndiGo,3/04/2019,Kolkata,Banglore,CCU → BLR,15:15,17:45,2h 30m,non-stop,No info,4174
Air India,9/06/2019,,Cochin,DEL → NAG → BOM → COK,05:55,07:40 10 Jun,25h 45m,2 stops,No info,10493
Unknown_3,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 25 Jun,26h 35m,2 stops,No info,9443
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,15:15,6h 20m,1 stop,No info,26890
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,In-flight meal not included,NotANumber
Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,5198
Unknown_3,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,9314
Unknown_3,27/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,8040
IndiGo,9/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:55,2h 40m,non-stop,No info,4778
Air India,9/05/2019,Kolkata,Banglore,CCU → VNS → DEL → BLR,14:30,12:30 10 May,22h,2 stops,No info,NotANumber
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,09:45,15:55,6h 10m,1 stop,In-flight meal not included,7280
IndiGo,12/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,5298
Unknown_3,15/03/2019,,New Delhi,BLR → DEL,05:45,08:35,2h 50m,-94,No info,5575
Vistara,1/04/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:50 02 Apr,25h 50m,,No info,8610
Jet Airways,24/06/2019,,Cochin,DEL → JAI → BOM → COK,05:30,04:25 25 Jun,22h 55m,,In-flight meal not included,10368
Unknown_3,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,NotANumber
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No info,7005
IndiGo,21/05/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 22 May,2h 35m,-74,No info,4804
Air Asia,3/06/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,4483
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,In-flight meal not included,13469
IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597
IndiGo,6/06/2019,Delhi,Cochin,DEL → HYD → COK,08:35,22:30,13h 55m,1 stop,No info,6442
Air Asia,21/05/2019,Kolkata,Banglore,CCU → BBI → BLR,19:55,23:30,3h 35m,1 stop,No info,5162
Air India,18/05/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15 19 May,25h 15m,1 stop,No info,7662
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 25 Mar,2h 50m,non-stop,No info,7303
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:15,12h 35m,1 stop,No info,7787
Air India,3/04/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,4441
Multiple carriers,27/03/2019,,Cochin,DEL → BOM → COK,10:20,18:50,8h 30m,1 stop,No info,11421
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,19:00,12h,,No info,10197
Air India,24/05/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,6934
IndiGo,3/06/2019,Kolkata,Banglore,CCU → BLR,09:35,12:10,2h 35m,non-stop,No info,4804
IndiGo,12/06/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218
IndiGo,15/05/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:30,8h 10m,-11,No info,6412
IndiGo,15/06/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227
Jet Airways Business,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,12:25,6h 40m,1 stop,Business class,62427
IndiGo,15/06/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,,No info,3540
Jet Airways,27/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
IndiGo,6/05/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3597
GoAir,3/04/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898
SpiceJet,24/05/2019,Kolkata,Banglore,CCU → IXB → BLR,11:15,18:30,7h 15m,1 stop,No info,9630
