Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 13 Jun,12h 15m,1 stop,In-flight meal not included,8529
Vistara,18/04/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,5613
IndiGo,21/06/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,5755
Air India,15/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,10h 15m,1 stop,No info,8372
IndiGo,21/05/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,2h 55m,non-stop,No info,3419
Air India,15/04/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,6121
Air India,1/04/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,23:15 02 Apr,30h 30m,2 stops,No info,9237
Air Asia,09/03/2019,Banglore,New Delhi,BLR → DEL,23:25,02:10 13 Mar,2h 45m,non-stop,No info,4482
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,19:00,14h 5m,1 stop,No info,-16
IndiGo,1/05/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 02 May,6h 55m,1 stop,No info,8854
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,01:30 28 May,7h 40m,2 stops,No info,18275
Vistara,15/06/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4878
Jet Airways,1/06/2019,Delhi,,DEL → BOM → COK,13:00,12:35 02 Jun,23h 35m,1 stop,In-flight meal not included,10262
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 22 May,10h 55m,1 stop,In-flight meal not included,12898
IndiGo,18/03/2019,Delhi,Cochin,DEL → COK,14:30,17:35,3h 5m,non-stop,No info,5406
 Air India ,15/05/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 16 May,16h 5m,1 stop,No info,7480
IndiGo,1/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:55,2h 40m,non-stop,No info,6565
Air India,6/06/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,07:00,05:25 07 Jun,22h 25m,2 stops,No info,12009
IndiGo,24/06/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 25 Jun,2h 20m,non-stop,No info,5277
Air India,12/06/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,13:45 13 Jun,27h 45m,2 stops,No info,12224
Air India,24/05/2019,Kolkata,Banglore,CCU → GAU → BLR,09:50,21:05,11h 15m,1 stop,No info,7662
SpiceJet,15/03/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 16 Mar,2h 20m,non-stop,No check-in baggage included,3815
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,09:30 13 Mar,14h 35m,1 stop,No info,13817
IndiGo,27/05/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049
Air India,3/03/2019,Delhi,Cochin,DEL → BLR → COK,06:10,23:00,16h 50m,1 stop,No info,13002
Jet Airways,21/05/2019,Kolkata,,CCU → BOM → BLR,06:30,10:05 22 May,27h 35m,1 stop,In-flight meal not included,8586
SpiceJet,18/06/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3543
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,09:20 07 May,13h 20m,1 stop,No info,14388
Jet Airways,15/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 16 Jun,22h 55m,2 stops,No info,13014
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 16 May,6h 55m,1 stop,No info,7191
IndiGo,18/03/2019,Kolkata,Banglore,CCU → BLR,10:10,12:55,2h 45m,non-stop,No info,4462
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,04:25 28 May,18h 25m,1 stop,In-flight meal not included,12898
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 07 Jun,15h 30m,1 stop,No info,13377
Air India,9/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,19:15,8h 20m,2 stops,No info,11753
IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 02 Jun,10h 30m,1 stop,No info,6628
Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,11:55,09:25 07 Mar,21h 30m,1 stop,No info,12395
IndiGo,24/03/2019,Kolkata,Banglore,CCU → BLR,10:10,12:55,2h 45m,non-stop,No info,6565
Multiple carriers,27/03/2019,Delhi,,DEL → BOM → COK,17:45,01:35 28 Mar,7h 50m,1 stop,No info,7845
Air India,24/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 25 Jun,21h 15m,2 stops,No info,9181
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,-95
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,12:00 25 Mar,22h 5m,1 stop,No info,14231
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1 stop,No info,17057
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,08:45,10:15,1h 30m,non-stop,No info,8040
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,23:00,16h,1 stop,No info,13817
Air India,24/03/2019,Kolkata,Banglore,CCU → GAU → BLR,09:50,21:05,11h 15m,1 stop,No info,7795
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,No info,14781
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:15,13h 15m,1 stop,In-flight meal not included,7268
Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,19:00,9h 45m,1 stop,No info,12042
SpiceJet,21/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,4423
Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,20:20,13h 20m,1 stop,In-flight meal not included,11087
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,17:00,01:30 13 Jun,8h 30m,1 stop,No info,7198
 Air Asia ,12/03/2019,Kolkata,Banglore,CCU → BLR,19:35,22:05,2h 30m,non-stop,No info,4384
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,05:45,18:15,12h 30m,1 stop,No info,14781
IndiGo,24/05/2019,Mumbai,Hyderabad,BOM → HYD,02:35,04:05,1h 30m,non-stop,No info,3342
GoAir,12/06/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,3419
IndiGo,6/06/2019,Delhi,,DEL → BOM → COK,16:00,21:00,5h,1 stop,No info,6069
